Product,Category,Cost,Price,March_Sales,April_Sales,March_Units,April_Units
Latte,Hot Coffee,1.2,4.5,3200,3680,711,818
Cappuccino,Hot Coffee,1.1,4.25,2200,2400,518,565
Americano,Hot Coffee,0.8,3.5,1800,1900,514,543
Drip Coffee,Hot Coffee,0.5,2.75,1200,1100,436,400
Espresso,Hot Coffee,0.6,3.0,900,950,300,317
Mocha,Hot Coffee,1.4,4.75,1500,1650,316,347
Flat White,Hot Coffee,1.3,4.5,1100,1300,244,289
Cold Brew,Cold Coffee,0.9,4.25,2000,2200,471,518
Iced Latte,Cold Coffee,1.2,4.5,1700,1950,378,433
Honey Lavender Cold Brew,Cold Coffee,1.1,4.75,500,1800,105,379
Muffin,Pastry,0.8,3.25,800,820,246,252
Croissant,Pastry,0.9,3.5,1000,980,286,280
Scone,Pastry,0.7,3.0,600,720,200,240
Cookies,Pastry,0.6,2.5,750,890,300,356
Breakfast Sandwich,Food,2.1,6.5,2100,2350,323,362
Veggie Wrap,Food,1.8,5.75,1200,1450,209,252
T-Shirt,Merchandise,8.0,20.0,400,550,20,28
Mug,Merchandise,3.5,12.0,600,720,50,60
Coffee Beans,Merchandise,5.0,15.0,1500,1800,100,120
